iter	Logloss
0	0.5825641187
1	0.5063122739
2	0.4481046097
3	0.4015300809
4	0.3680784773
5	0.3436245834
6	0.3232453066
7	0.3078228187
8	0.297491304
9	0.2889686561
10	0.2816354355
11	0.2761597698
12	0.2714590528
13	0.2679263331
14	0.2655334581
15	0.2630838191
16	0.2611486857
17	0.2597484339
18	0.2582987833
19	0.2572405148
20	0.2562074089
21	0.2553428013
22	0.2545145357
23	0.2540172934
24	0.2534878633
25	0.2529495818
26	0.2526017322
27	0.2523739409
28	0.2520827931
29	0.2516877729
30	0.2514500327
31	0.2511464595
32	0.2508739612
33	0.2506297449
34	0.2504229658
35	0.250211085
36	0.2499750369
37	0.2497940697
38	0.2496200085
39	0.2495075024
40	0.2493514256
41	0.2492402907
42	0.2490984135
43	0.2489172642
44	0.2487396639
45	0.2485413955
46	0.2484471126
47	0.2483342698
48	0.2482305632
49	0.2481470341
50	0.2480561731
51	0.2479540352
52	0.2477984149
53	0.2477102435
54	0.2476177931
55	0.2475300778
56	0.2474244055
57	0.2473382521
58	0.2472567196
59	0.2471959777
60	0.2471002917
61	0.2470400216
62	0.2468864404
63	0.2468008025
64	0.246733157
65	0.2466681696
66	0.2465480042
67	0.2464830006
68	0.2464411665
69	0.2464177028
70	0.2463695843
71	0.2462995229
72	0.2462653621
73	0.2461995855
74	0.2461230085
75	0.2460519157
76	0.2459742692
77	0.2459213586
78	0.2458331844
79	0.2457587705
80	0.2457059209
81	0.245665357
82	0.2456322003
83	0.2455920578
84	0.2455162295
85	0.2454410813
86	0.2453980008
87	0.2453683277
88	0.2453048213
89	0.2452254091
90	0.2451550402
91	0.2451057543
92	0.2450601463
93	0.2450312491
94	0.2449531317
95	0.2448718844
96	0.2448243919
97	0.2447974752
98	0.2447719348
99	0.2447074312
100	0.2446632213
101	0.2446170479
102	0.2445598344
103	0.2445133515
104	0.2444682568
105	0.2444323757
106	0.2443691713
107	0.244317314
108	0.2442869116
109	0.2442217867
110	0.2441777158
111	0.2440902717
112	0.2440477867
113	0.2440171973
114	0.243965196
115	0.2438942809
116	0.2438280865
117	0.2437867713
118	0.2437270236
119	0.2436481598
120	0.243593345
121	0.2435347857
122	0.2434756355
123	0.243392593
124	0.2433368144
125	0.2432639239
126	0.2431965421
127	0.2431509916
128	0.2430579541
129	0.2430040784
130	0.2429530792
131	0.2429043364
132	0.2428501369
133	0.2428014715
134	0.2427563399
135	0.2426770663
136	0.2426338679
137	0.2426002098
138	0.242563192
139	0.2425183381
140	0.242445796
141	0.2423901482
142	0.2423217519
143	0.2422682536
144	0.2422168208
145	0.2421488647
146	0.2420999157
147	0.2420455318
148	0.2420111854
149	0.2419783913
150	0.2419124584
151	0.2418786208
152	0.2418130194
153	0.2417507244
154	0.2417318006
155	0.2416868203
156	0.2416371599
157	0.2415882013
158	0.2415379999
159	0.2414974861
160	0.24146076
161	0.2414101187
162	0.2413652234
163	0.2413315447
164	0.2412865673
165	0.241239963
166	0.2412026229
167	0.2411621096
168	0.2410948119
169	0.2410536564
170	0.2409881277
171	0.2409667119
172	0.2409243251
173	0.2408707934
174	0.2408241305
175	0.2407760199
176	0.2407236608
177	0.240675096
178	0.2406070829
179	0.240573338
180	0.2405235758
181	0.2404660759
182	0.2404266358
183	0.2403867342
184	0.2403452501
185	0.2403045002
186	0.240252214
187	0.2402140492
188	0.2401789281
189	0.240136804
190	0.2400948517
191	0.2400460858
192	0.2400157152
193	0.2399747842
194	0.2399214067
195	0.2398773891
196	0.2398243814
197	0.239791736
198	0.2397511391
199	0.2396898402
200	0.239661808
201	0.2396171025
202	0.2395718998
203	0.2395481125
204	0.2394960157
205	0.2394569881
206	0.2394152072
207	0.2393628766
208	0.2393295111
209	0.2393025052
210	0.2392419216
211	0.2392193636
212	0.2391782939
213	0.239140344
214	0.2391054171
215	0.2390770414
216	0.2390358783
217	0.2389986704
218	0.2389509536
219	0.2389271168
220	0.2388933961
221	0.2388495171
222	0.238821024
223	0.2387832766
224	0.2387535845
225	0.2387288386
226	0.2386969812
227	0.2386738561
228	0.2386454857
229	0.2385998525
230	0.2385725721
231	0.2385436314
232	0.2385081217
233	0.2384754191
234	0.2384369125
235	0.2383777722
236	0.2383414178
237	0.2383014065
238	0.2382739999
239	0.238226306
240	0.2381965781
241	0.2381616096
242	0.2381202422
243	0.2380612409
244	0.2379902275
245	0.2379423399
246	0.2379018328
247	0.2378778674
248	0.2378500075
249	0.2378054108
250	0.2377731261
251	0.2377390422
252	0.2376806247
253	0.2376314787
254	0.2375805259
255	0.2375303575
256	0.2374783765
257	0.2374460036
258	0.2374196564
259	0.2373912392
260	0.2373589676
261	0.2373147836
262	0.2373035704
263	0.2372671821
264	0.2372425773
265	0.2372097841
266	0.2371718056
267	0.2371367108
268	0.2371096139
269	0.2370919774
270	0.2370490212
271	0.2370124449
272	0.236986959
273	0.2369468085
274	0.2369153347
275	0.2368923801
276	0.2368481753
277	0.2368174045
278	0.2367754405
279	0.2367463542
280	0.2366918067
281	0.2366626782
282	0.2366440497
283	0.2366028767
284	0.2365734562
285	0.2365501055
286	0.2365001146
287	0.2364738199
288	0.2364228728
289	0.2363785604
290	0.236329187
291	0.2362850419
292	0.2362504818
293	0.2362114481
294	0.2361638008
295	0.2361204416
296	0.2360778894
297	0.2360480864
298	0.2360003087
299	0.2359670402
300	0.2359243223
301	0.2358973059
302	0.2358679678
303	0.2358375403
304	0.2357976974
305	0.2357744219
306	0.2357358973
307	0.2357043719
308	0.2356647886
309	0.2356277494
310	0.235599602
311	0.2355668405
312	0.2355387854
313	0.2355052093
314	0.2354847698
315	0.2354517589
316	0.2354082824
317	0.2353635865
318	0.235332177
319	0.2352933816
320	0.2352563214
321	0.2352195468
322	0.235174908
323	0.2351211151
324	0.2350942807
325	0.2350586528
326	0.2350240048
327	0.2349931641
328	0.2349529757
329	0.2349088576
330	0.234885549
331	0.2348615876
332	0.2348277572
333	0.2348050196
334	0.2347760179
335	0.2347413411
336	0.2347073793
337	0.2346808848
338	0.234638041
339	0.2345986354
340	0.2345856587
341	0.2345511572
342	0.2345387138
343	0.2345173207
344	0.2344792478
345	0.2344407135
346	0.2344014295
347	0.2343585785
348	0.2343355625
349	0.2342909205
350	0.2342645678
351	0.2342210214
352	0.2341750925
353	0.2341457839
354	0.2341259641
355	0.2340881119
356	0.2340577304
357	0.2340265533
358	0.2339870125
359	0.233944784
360	0.2339304459
361	0.2338810148
362	0.2338448238
363	0.2337992409
364	0.233765744
365	0.233731599
366	0.2336997036
367	0.2336694328
368	0.2336495282
369	0.2336199047
370	0.2335905036
371	0.2335689778
372	0.2335338393
373	0.2335008703
374	0.2334749536
375	0.2334219953
376	0.2333726355
377	0.2333400004
378	0.2332878568
379	0.2332502748
380	0.2332309345
381	0.2332006318
382	0.2331639362
383	0.2331214935
384	0.2330961923
385	0.2330712272
386	0.2330483752
387	0.2330049367
388	0.2329672198
389	0.232927015
390	0.2328873055
391	0.2328411789
392	0.2328249819
393	0.2327967478
394	0.2327692428
395	0.2327082645
396	0.2326782968
397	0.2326521756
398	0.2326236508
399	0.2326061087
400	0.2325804915
401	0.2325434939
402	0.2325180689
403	0.2325039591
404	0.2324599117
405	0.2324071038
406	0.2323734565
407	0.2323528012
408	0.2323057016
409	0.2322805155
410	0.2322218974
411	0.2321937335
412	0.2321660604
413	0.2321428582
414	0.2321129592
415	0.2320771232
416	0.232052413
417	0.2320146401
418	0.2319969008
419	0.2319729674
420	0.2319329742
421	0.2318969225
422	0.2318629634
423	0.231844479
424	0.2318194307
425	0.2317750026
426	0.2317466788
427	0.2317157505
428	0.2316863025
429	0.2316598108
430	0.2316321194
431	0.2316105518
432	0.2315687874
433	0.231527102
434	0.2315022823
435	0.2314754113
436	0.2314561597
437	0.2314107827
438	0.2313781762
439	0.2313364889
440	0.2312930418
441	0.2312437821
442	0.2312138731
443	0.2311719238
444	0.2311310248
445	0.231119515
446	0.2311025922
447	0.2310827371
448	0.2310578513
449	0.2310228877
450	0.2309974459
451	0.23096051
452	0.2309270133
453	0.2309168167
454	0.230887676
455	0.2308366759
456	0.2308125934
457	0.2307708905
458	0.2307387295
459	0.2307116004
460	0.2306668563
461	0.2306314339
462	0.2306059763
463	0.2305785961
464	0.2305514049
465	0.2305179949
466	0.2304741518
467	0.2304395142
468	0.2304100112
469	0.2303918072
470	0.2303752223
471	0.2303382607
472	0.230306592
473	0.230271328
474	0.2302384277
475	0.2302118931
476	0.2301779105
477	0.230148694
478	0.2301199208
479	0.2300793736
480	0.2300486251
481	0.2300266969
482	0.2300054384
483	0.2299757357
484	0.2299488341
485	0.2299193234
486	0.2298972892
487	0.2298682854
488	0.2298361741
489	0.2297932106
490	0.2297518825
491	0.2297069711
492	0.2296626953
493	0.2296187734
494	0.2296033642
495	0.2295692683
496	0.2295203031
497	0.2294967184
498	0.2294650879
499	0.2294230811
500	0.2293788985
501	0.2293560825
502	0.2293148341
503	0.2292819538
504	0.229231763
505	0.2292126759
506	0.2292092284
507	0.2291814196
508	0.2291540592
509	0.2291343514
510	0.2291011137
511	0.2290466022
512	0.2290240483
513	0.2289974063
514	0.2289572255
515	0.2289209631
516	0.2288964912
517	0.2288789597
518	0.2288366182
519	0.228814122
520	0.2287776312
521	0.2287493718
522	0.2287249615
523	0.2286972301
524	0.2286519543
525	0.2286157439
526	0.2285941068
527	0.2285497123
528	0.2285149304
529	0.2284637641
530	0.2284342412
531	0.2283946998
532	0.2283619937
533	0.2283553696
534	0.228320775
535	0.2282944719
536	0.2282685763
537	0.2282449603
538	0.2282120371
539	0.2281854198
540	0.2281524709
541	0.2281343227
542	0.228104096
543	0.2280791348
544	0.2280498093
545	0.2280153238
546	0.2279911675
547	0.2279597745
548	0.2279232644
549	0.2279020863
550	0.2278866334
551	0.2278629568
552	0.2278406524
553	0.2278275288
554	0.2277907185
555	0.2277479885
556	0.2277100136
557	0.227703348
558	0.2276867632
559	0.227675558
560	0.2276500877
561	0.2276294158
562	0.2275992238
563	0.2275718409
564	0.227537724
565	0.2275124672
566	0.2274737621
567	0.2274464407
568	0.2274203723
569	0.2273836231
570	0.2273634376
571	0.2273241917
572	0.2272882661
573	0.2272478844
574	0.2272097343
575	0.2271844307
576	0.2271686772
577	0.2271361082
578	0.2271002607
579	0.2270632348
580	0.2270186731
581	0.2269880895
582	0.2269637385
583	0.2269256591
584	0.2268904682
585	0.2268748054
586	0.2268448941
587	0.2268316553
588	0.2267979285
589	0.2267615227
590	0.2267376549
591	0.22671909
592	0.2266904096
593	0.2266696039
594	0.2266466821
595	0.2266285561
596	0.2265885052
597	0.2265629445
598	0.2265245736
599	0.2264930548
600	0.2264606892
601	0.2264299905
602	0.2264171135
603	0.226382084
604	0.2263444428
605	0.2263071765
606	0.2262752994
607	0.2262281746
608	0.2262080681
609	0.2261909697
610	0.2261646135
611	0.2261411468
612	0.2261064633
613	0.2260890437
614	0.2260715876
615	0.2260563198
616	0.226026784
617	0.2260053439
618	0.2259707491
619	0.2259335195
620	0.2259076554
621	0.225873926
622	0.2258540496
623	0.2258253497
624	0.2258048058
625	0.2257661781
626	0.2257272773
627	0.2256852712
628	0.225660079
629	0.2256238071
630	0.2255929349
631	0.2255629431
632	0.2255280045
633	0.2255008449
634	0.225496405
635	0.2254607196
636	0.2254399866
637	0.2254171489
638	0.2253837678
639	0.225359477
640	0.2253318393
641	0.2253059422
642	0.2252863704
643	0.2252617388
644	0.2252336773
645	0.2251901578
646	0.2251499286
647	0.2251077727
648	0.2250697157
649	0.2250445146
650	0.2250136303
651	0.2249925306
652	0.224951228
653	0.224916435
654	0.2248825878
655	0.2248398793
656	0.2247944507
657	0.2247628467
658	0.2247376557
659	0.2246917582
660	0.2246822915
661	0.2246546548
662	0.2246335333
663	0.2245938335
664	0.224564868
665	0.2245345597
666	0.2245177427
667	0.2244803211
668	0.2244639838
669	0.2244340177
670	0.2244158622
671	0.2243788776
672	0.2243390069
673	0.2243122798
674	0.2242683144
675	0.2242556891
676	0.2242233361
677	0.2241881041
678	0.2241640805
679	0.2241320059
680	0.2240928824
681	0.2240628779
682	0.224029276
683	0.223999556
684	0.2239896261
685	0.2239686794
686	0.223935032
687	0.2239234948
688	0.2239161634
689	0.2238865895
690	0.2238783012
691	0.2238598602
692	0.2238364032
693	0.223807241
694	0.2237720669
695	0.2237433429
696	0.2237207727
697	0.2236861517
698	0.2236742681
699	0.2236520343
700	0.223628996
701	0.2235981079
702	0.2235584366
703	0.2235170627
704	0.2234685887
705	0.2234389638
706	0.223406834
707	0.2233689795
708	0.2233273155
709	0.2232901101
710	0.2232508023
711	0.223231166
712	0.2232042227
713	0.2231869685
714	0.2231575346
715	0.2231269965
716	0.2230970825
717	0.2230821639
718	0.2230576266
719	0.2230413789
720	0.2230292062
721	0.2229862407
722	0.2229481618
723	0.2229150766
724	0.2228907508
725	0.2228498181
726	0.2228167192
727	0.2228023736
728	0.2227861732
729	0.2227658623
730	0.2227433663
731	0.2227296612
732	0.2227077629
733	0.2226751437
734	0.2226420277
735	0.2226244066
736	0.222592277
737	0.2225471335
738	0.2225105031
739	0.222485442
740	0.222445773
741	0.2224424586
742	0.2224051135
743	0.2223735671
744	0.2223364353
745	0.2223184342
746	0.2222876954
747	0.2222669049
748	0.2222341279
749	0.2222176776
750	0.2221993496
751	0.2221765724
752	0.2221484624
753	0.2221038477
754	0.2220784413
755	0.2220291103
756	0.2219893673
757	0.2219725327
758	0.221942401
759	0.2219028751
760	0.2218637811
761	0.2218415597
762	0.2218010462
763	0.2217693135
764	0.2217366769
765	0.2217099923
766	0.2216858638
767	0.2216427946
768	0.2216127775
769	0.2215904215
770	0.2215573324
771	0.2215259827
772	0.2215024796
773	0.2214969498
774	0.2214721471
775	0.2214397576
776	0.221405448
777	0.2213760584
778	0.2213669624
779	0.2213372834
780	0.2212955685
781	0.2212730539
782	0.2212478757
783	0.2212157017
784	0.2211844766
785	0.2211465106
786	0.2211250373
787	0.2210873206
788	0.2210552356
789	0.2210370566
790	0.2210096307
791	0.22100167
792	0.2209844543
793	0.2209565158
794	0.2209283647
795	0.2209031917
796	0.2208971206
797	0.2208729621
798	0.2208530286
799	0.2208385177
800	0.2208245174
801	0.2207989654
802	0.2207649532
803	0.2207467475
804	0.220726945
805	0.2207159918
806	0.2207150599
807	0.2206789388
808	0.2206488374
809	0.2206094528
810	0.2205866654
811	0.2205542875
812	0.2205438458
813	0.2205256625
814	0.2204992725
815	0.2204660326
816	0.2204299827
817	0.2203912011
818	0.2203632212
819	0.2203313528
820	0.220308956
821	0.2202953401
822	0.22024868
823	0.2202158124
824	0.2201901093
825	0.2201574698
826	0.2201273961
827	0.2200961171
828	0.2200561094
829	0.2200208025
830	0.2199805055
831	0.2199701238
832	0.2199370642
833	0.2199268799
834	0.2199083907
835	0.2198763072
836	0.2198530642
837	0.2198191859
838	0.2197850635
839	0.2197578276
840	0.2197307097
841	0.2197041124
