iter	Passed	Remaining
0	113	113643
1	180	89964
2	240	79870
3	291	72692
4	346	68942
5	415	68798
6	494	70148
7	566	70184
8	638	70252
9	716	70911
10	790	71029
11	847	69768
12	905	68783
13	958	67529
14	1011	66443
15	1071	65890
16	1126	65162
17	1173	64003
18	1225	63289
19	1277	62576
20	1335	62238
21	1393	61932
22	1442	61289
23	1496	60859
24	1547	60366
25	1601	60010
26	1647	59362
27	1690	58695
28	1740	58272
29	1794	58018
30	1843	57622
31	1893	57268
32	1944	56974
33	1994	56666
34	2048	56485
35	2093	56065
36	2145	55830
37	2202	55770
38	2247	55374
39	2289	54942
40	2337	54681
41	2386	54431
42	2430	54103
43	2486	54020
44	2538	53872
45	2592	53775
46	2638	53500
47	2682	53208
48	2725	52900
49	2769	52626
50	2825	52570
51	2870	52324
52	2919	52169
53	2964	51936
54	3008	51683
55	3056	51527
56	3101	51305
57	3144	51063
58	3190	50879
59	3230	50612
60	3278	50465
61	3321	50257
62	3369	50110
63	3411	49899
64	3459	49769
65	3507	49633
66	3555	49514
67	3601	49367
68	3647	49221
69	3689	49012
70	3741	48959
71	3792	48876
72	3843	48804
73	3902	48834
74	3964	48896
75	4019	48863
76	4071	48806
77	4128	48795
78	4184	48784
79	4234	48697
80	4286	48629
81	4329	48464
82	4373	48323
83	4419	48189
84	4473	48153
85	4521	48050
86	4564	47903
87	4608	47764
88	4657	47670
89	4707	47597
90	4761	47558
91	4807	47452
92	4860	47399
93	4904	47270
94	4951	47171
95	5004	47122
96	5047	46985
97	5090	46857
98	5138	46765
99	5189	46701
100	5235	46600
101	5277	46465
102	5327	46394
103	5367	46241
104	5408	46097
105	5449	45958
106	5496	45873
107	5543	45789
108	5588	45679
109	5635	45592
110	5675	45455
111	5727	45413
112	5773	45319
113	5818	45218
114	5866	45149
115	5915	45080
116	5961	44991
117	6002	44868
118	6045	44754
119	6094	44690
120	6140	44605
121	6190	44551
122	6234	44454
123	6291	44449
124	6342	44400
125	6402	44411
126	6447	44319
127	6496	44258
128	6544	44190
129	6593	44125
130	6640	44052
131	6684	43955
132	6729	43871
133	6772	43770
134	6814	43665
135	6865	43616
136	6913	43547
137	6953	43437
138	6993	43317
139	7039	43239
140	7084	43159
141	7128	43074
142	7175	43003
143	7221	42928
144	7267	42855
145	7313	42780
146	7359	42707
147	7406	42639
148	7452	42563
149	7492	42456
150	7538	42385
151	7580	42289
152	7630	42243
153	7674	42162
154	7722	42101
155	7769	42034
156	7816	41971
157	7860	41889
158	7901	41791
159	7943	41700
160	7985	41613
161	8032	41548
162	8075	41466
163	8113	41356
164	8158	41285
165	8200	41201
166	8241	41108
167	8285	41032
168	8335	40986
169	8378	40908
170	8426	40849
171	8468	40765
172	8513	40696
173	8562	40648
174	8605	40568
175	8665	40568
176	8768	40770
177	8811	40691
178	8856	40621
179	8901	40552
180	8956	40527
181	9017	40530
182	9071	40498
183	9135	40515
184	9184	40462
185	9227	40384
186	9278	40337
187	9326	40282
188	9379	40247
189	9450	40290
190	9509	40276
191	9563	40244
192	9613	40196
193	9667	40164
194	9727	40156
195	9776	40104
196	9823	40042
197	9868	39971
198	9921	39935
199	9975	39902
200	10021	39835
201	10066	39768
202	10124	39751
203	10171	39687
204	10219	39631
205	10269	39581
206	10314	39515
207	10386	39548
208	10471	39630
209	10533	39627
210	10607	39666
211	10694	39751
212	10777	39820
213	10847	39841
214	10904	39815
215	10971	39823
216	11036	39822
217	11099	39816
218	11171	39838
219	11222	39788
220	11279	39758
221	11331	39710
222	11373	39629
223	11418	39555
224	11456	39462
225	11500	39387
226	11544	39312
227	11587	39233
228	11626	39143
229	11671	39074
230	11716	39005
231	11758	38924
232	11803	38855
233	11847	38784
234	11913	38783
235	11986	38803
236	12035	38748
237	12087	38701
238	12136	38643
239	12178	38566
240	12226	38505
241	12271	38438
242	12324	38394
243	12379	38356
244	12434	38317
245	12505	38329
246	12561	38294
247	12622	38276
248	12683	38254
249	12760	38281
250	12863	38385
251	12933	38389
252	13019	38439
253	13097	38468
254	13245	38697
255	13445	39077
256	13617	39369
257	13708	39424
258	13765	39383
259	13854	39431
260	13910	39386
261	13969	39347
262	14018	39284
263	14067	39218
264	14127	39182
265	14186	39145
266	14243	39103
267	14303	39068
268	14353	39006
269	14403	38943
270	14453	38880
271	14503	38817
272	14551	38750
273	14607	38705
274	14651	38627
275	14699	38560
276	14810	38655
277	14874	38630
278	14949	38632
279	15052	38706
280	15145	38752
281	15244	38815
282	15298	38759
283	15360	38726
284	15412	38667
285	15461	38599
286	15521	38559
287	15573	38500
288	15641	38480
289	15703	38445
290	15759	38397
291	15822	38363
292	15883	38326
293	15943	38287
294	16011	38265
295	16067	38215
296	16122	38161
297	16187	38133
298	16261	38125
299	16320	38080
300	16388	38057
301	16450	38020
302	16512	37984
303	16571	37940
304	16637	37911
305	16719	37920
306	16797	37918
307	16863	37888
308	16937	37877
309	17024	37892
310	17093	37868
311	17192	37911
312	17303	37979
313	17378	37967
314	17526	38113
315	17599	38096
316	17699	38135
317	17933	38460
318	18127	38698
319	18310	38910
320	18378	38875
321	18443	38835
322	18522	38822
323	18604	38817
324	18682	38801
325	18762	38791
326	18839	38774
327	18925	38773
328	19008	38768
329	19077	38732
330	19136	38676
331	19190	38613
332	19247	38553
333	19297	38480
334	19351	38414
335	19411	38360
336	19489	38343
337	19552	38294
338	19615	38248
339	19686	38214
340	19755	38179
341	19856	38204
342	19939	38192
343	20080	38292
344	20169	38293
345	20253	38281
346	20316	38231
347	20372	38169
348	20423	38096
349	20479	38033
350	20523	37948
351	20589	37902
352	20636	37823
353	20684	37746
354	20732	37668
355	20791	37611
356	20839	37533
357	20887	37458
358	20938	37385
359	20997	37329
360	21045	37252
361	21106	37197
362	21162	37136
363	21213	37065
364	21265	36996
365	21317	36927
366	21369	36857
367	21432	36807
368	21479	36730
369	21535	36668
370	21595	36613
371	21647	36544
372	21705	36486
373	21770	36440
374	21827	36378
375	21887	36323
376	21948	36269
377	22013	36222
378	22083	36184
379	22141	36125
380	22192	36055
381	22238	35978
382	22293	35914
383	22371	35888
384	22426	35824
385	22499	35789
386	22565	35743
387	22634	35701
388	22700	35654
389	22762	35602
390	22814	35534
391	22871	35474
392	22920	35401
393	22984	35351
394	23046	35298
395	23115	35256
396	23181	35209
397	23250	35167
398	23311	35113
399	23374	35061
400	23446	35023
401	23519	34987
402	23593	34951
403	23655	34897
404	23731	34864
405	23865	34916
406	23955	34903
407	24053	34901
408	24138	34880
409	24197	34821
410	24255	34759
411	24313	34699
412	24364	34629
413	24405	34545
414	24450	34466
415	24501	34396
416	24549	34321
417	24598	34249
418	24642	34169
419	24684	34088
420	24745	34031
421	24795	33961
422	24839	33883
423	24896	33821
424	24949	33754
425	25010	33699
426	25064	33634
427	25112	33561
428	25180	33515
429	25251	33472
430	25308	33411
431	25360	33344
432	25418	33284
433	25481	33231
434	25531	33162
435	25595	33109
436	25647	33042
437	25695	32970
438	25740	32893
439	25791	32825
440	25844	32760
441	25902	32701
442	25951	32630
443	26004	32564
